algo,serie,taille,temps
glouton,DP_N10_0,N10,7795
glouton,DP_N10_1,N10,5655
glouton,DP_N10_2,N10,5705
glouton,DP_N10_3,N10,7237
glouton,DP_N10_4,N10,5687
glouton,DP_N15_0,N15,6431
glouton,DP_N15_1,N15,8243
glouton,DP_N15_2,N15,6226
glouton,DP_N15_3,N15,7890
glouton,DP_N15_4,N15,9041
glouton,DP_N20_0,N20,7633
glouton,DP_N20_1,N20,10643
glouton,DP_N20_2,N20,11426
glouton,DP_N20_3,N20,9263
glouton,DP_N20_4,N20,9268
glouton,DP_N25_0,N25,11352
glouton,DP_N25_1,N25,8999
glouton,DP_N25_2,N25,8888
glouton,DP_N25_3,N25,11357
glouton,DP_N25_4,N25,10131
glouton,DP_N5_0,N5,4500
glouton,DP_N5_1,N5,3288
glouton,DP_N5_2,N5,4729
glouton,DP_N5_3,N5,3908
glouton,DP_N5_4,N5,4624
progdyn,DP_N10_0,N10,6567
progdyn,DP_N10_1,N10,5195
progdyn,DP_N10_2,N10,5083
progdyn,DP_N10_3,N10,6094
progdyn,DP_N10_4,N10,5343
progdyn,DP_N15_0,N15,6181
progdyn,DP_N15_1,N15,7220
progdyn,DP_N15_2,N15,5886
progdyn,DP_N15_3,N15,6709
progdyn,DP_N15_4,N15,7457
progdyn,DP_N20_0,N20,7272
progdyn,DP_N20_1,N20,8725
progdyn,DP_N20_2,N20,8300
progdyn,DP_N20_3,N20,8207
progdyn,DP_N20_4,N20,7915
progdyn,DP_N25_0,N25,9569
progdyn,DP_N25_1,N25,8410
progdyn,DP_N25_2,N25,8332
progdyn,DP_N25_3,N25,8933
progdyn,DP_N25_4,N25,8527
progdyn,DP_N5_0,N5,4175
progdyn,DP_N5_1,N5,3112
progdyn,DP_N5_2,N5,4645
progdyn,DP_N5_3,N5,3656
progdyn,DP_N5_4,N5,4531
